																																																												
																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Bhutan	BTN	Real interest rate (%)	FR.INR.RINR																							7.010189822	7.839021475	4.505491816	8.171567429	7.794018085	14.53741664	0.261941898	8.998958626	8.789378245	5.733371965	7.048005305	8.146617764	2.789503301	7.359871083	7.35161735	3.124496638	4.968226986	7.971952603	13.40727262	9.959208603	9.886214869	11.55834207	10.7996596	7.691502857	8.147905979	10.56082808	7.663693404	8.487022103	7.56187268	4.965450811	4.414021052	7.826621357	6.403252689	10.07300292	
Botswana	BWA	Real interest rate (%)	FR.INR.RINR																					-1.556654989	9.721909504	19.78189131	4.257201654	-2.968963509	-9.271153195	-2.683864921	-2.390604785	-12.11416662	-5.263682316	1.481638236	6.327978893	6.902446472	1.637970358	4.067885118	6.776493721	-1.388480661	8.23043537	3.636072028	0.473255913	1.145825257	6.866384387	14.844701	12.7261594	5.151956567	0.230180572	8.360417366	10.75731464	11.27885198	6.850390945	2.330456779	-4.651308226	11.12468479	8.964702222	-1.842403222	5.27431631	
Central African Republic	CAF	Real interest rate (%)	FR.INR.RINR																				-2.187602643	-6.566062888	-1.644595495	-7.372361177	1.25749992	10.92552196	-16.13563462	15.97689076	14.04348871	9.379812532	10.29102651	11.08476706	18.60818656	14.58240933	21.63405516	-5.556166632	5.552444523	26.48128995	21.0036787	22.50736929	17.21221452	12.4355558	20.15488056	20.86681794	16.44382305	23.48235211	11.85423349	12.69189103	12.88703775									
Canada	CAN	Real interest rate (%)	FR.INR.RINR		5.122626677	4.234241398	3.614344194	3.070929507	2.332871329	0.971010803	1.451205661	3.165737123	3.303690845	1.98952616	1.571384998	0.094310304	-1.860646744	-3.861259457	-1.154962166	0.497511077	1.595047933	2.893478937	2.646092027	3.796075703	7.686667697	6.408124357	5.109602955	8.24371276	7.021284457	7.231753314	4.543483887	6.015516129	8.231992768	10.28700093	6.637898156	5.889273199	4.574952008	5.326344419	6.244104961	4.243911479	3.773937875	6.796869373	4.448903715	2.807671061	4.086493276	2.927678762	1.386419109	0.696916966	1.23088609	3.117597709	2.695919665	0.696304001	4.800208834	-0.262355298	-0.234448747	1.757286718	1.392767439	1.083075575	3.582141769	
Central Europe and the Baltics	CEB	Real interest rate (%)	FR.INR.RINR																																																									
Switzerland	CHE	Real interest rate (%)	FR.INR.RINR																						-0.095690238	-1.047720684	3.079396774	1.667663929	3.147791519	2.353972576	2.9762344	2.221120316	2.310788556	2.694819463	2.292713217	5.558108803	3.987876551	4.270039103	4.705030534	4.754248373	4.686996248	4.197766208	3.714488829	2.891326804	3.237320807	4.27498652	2.301013739	2.798962438	2.463672619	1.059852154	0.868665923	1.396370538	2.330407468	2.437693854	2.512199235	2.885041753	2.679254295	3.274979756	3.261539747	
Channel Islands	CHI	Real interest rate (%)	FR.INR.RINR																																																									
Chile	CHL	Real interest rate (%)	FR.INR.RINR																		27.87428887	18.05648867	11.24108302	14.27130772	34.47967211	50.98441861	9.306332315	22.84137881	7.081380545	3.488861896	5.431680694	-1.189875255	19.80875893	21.56629076	5.01513845	9.812221197	11.27112925	5.810964894	7.008549905	14.25168705	10.93339795	17.89868686	9.949546892	4.139683923	7.750283732	3.396952047	0.300365988	-2.187111298	-0.81304306	-4.263989621	3.650675169	12.72853682	3.282272751	-3.744449268	5.580206394	9.129627259	6.816659208	2.411015811	1.133622105	
China	CHN	Real interest rate (%)	FR.INR.RINR																					1.216590316	2.679689083	7.267539347	6.037702184	2.10274409	-2.065851699	3.095261644	2.729625507	-2.761656882	2.500898042	3.438144301	1.833765677	0.408264739	-3.665065675	-7.977420064	-1.416761557	3.360495892	6.905831792	7.348127438	7.209822614	3.712085163	3.73064421	4.676860839	2.635887634	-1.285010375	1.614383895	2.10922666	-0.310763194	-2.334638011	5.451173014	-1.060769643	-1.472149057	3.523235839	3.692594037	4.732429483	4.27038617	
Cote d'Ivoire	CIV	Real interest rate (%)	FR.INR.RINR																																														7.4912112	5.726117795	4.504727496	-0.573783138	6.101140124	2.280727095	6.301519104	3.402502262	2.742819701	5.255992224	4.427839658	
Cameroon	CMR	Real interest rate (%)	FR.INR.RINR																				-2.306338449	-1.090537783	3.860109092	0.460561486	1.540334119	0.834689487	2.979546446	13.29693147	15.76956592	12.54235263	17.13070493	16.5844035	14.07885256	19.29418727	-3.773123385	7.532691163	6.800900577	18.70193621	17.84374475	17.52864962	19.28828157	18.6006826	18.09398899	14.28807418	17.57956467	16.24642239	14.65064554	10.96167597	13.8353726									
"Congo, Dem. Rep."	COD	Real interest rate (%)	FR.INR.RINR																																															30.62185755	23.66644107	19.70924648	23.57980362	33.31296964	30.24699506	19.49260686	18.50115805	17.7526768	18.60764647	
"Congo, Rep."	COG	Real interest rate (%)	FR.INR.RINR																				-6.91843495	-7.610873527	-13.1381498	4.672803121	5.324163226	-0.099360654	9.269848948	57.42509024	3.250572787	19.21437443	-0.216472761	14.6801369	19.92143288	19.64843848	18.80177783	-14.07855784	12.19010318	3.396907036	16.22975335	49.18454078	-5.686152437	-17.02942664	40.18815974	20.08824764	23.23957608	1.021136801	-3.018877199	-2.688201652	13.72350718									
Colombia	COL	Real interest rate (%)	FR.INR.RINR																											9.044997637	14.36911827	11.68738654	14.72270419	15.18100496	16.59472382	12.31588833	6.143344416	-3.365547854	20.08106901	21.49779219	14.87875352	23.93081159	11.67250781	-9.847107033	13.33248084	9.7752049	7.823797978	7.270509662	8.529274188	6.730149746	9.845884103	8.944131906	9.283784921	5.32007517	4.211476049	9.317552811	8.817178467	8.54775181	8.668511096	
Comoros	COM	Real interest rate (%)	FR.INR.RINR																								-0.180017557	8.327163258	7.40513117	7.083491834	9.471699019	10.85245477											7.423579109	17.22847429	3.102085698	7.515877628	6.394840599	7.362021116	10.65043234	7.166183786	6.717118104	4.963861138	6.629503604	6.379997926	7.674433849	8.036824938	9.053252286	7.637192319	6.839535602	
Cabo Verde	CPV	Real interest rate (%)	FR.INR.RINR																						-2.808935988	-9.279357668	-3.675540679	-2.083906292	6.109333778	-6.536811911	2.839890721	4.352833831	6.193126118	7.479277413	4.969425346	14.72177016	-26.34952125	56.24807837	13.75974877	12.61503117	12.99971023	12.89347801	4.106653466	21.541268	7.31663459	13.58588744	7.444228971	20.30859851	14.34178057	4.984103114	1.654809829	6.222437412	8.614687079	10.48187023	6.948424575	9.295956549	8.947552916	11.04360926	9.886162272	
Costa Rica	CRI	Real interest rate (%)	FR.INR.RINR																							-32.12862158	-24.35209189	0.09873557	3.185697574	2.105166561	10.32631806	6.589154313	11.98760081	13.18681041	9.990266092	7.326278205	17.7967558	15.0165573	12.76785175	9.557722546	6.867946508	9.205999862	12.86881327	14.03464033	12.82240149	15.06964547	13.42165498	8.796864556	10.21434561	8.095397554	2.047359986	3.957905494	9.010542023	9.871389658	11.09289334	13.27824358	10.73878612	8.692492839	10.57058621	
Caribbean small states	CSS	Real interest rate (%)	FR.INR.RINR																																																									
Cuba	CUB	Real interest rate (%)	FR.INR.RINR																																																									
Curacao	CUW	Real interest rate (%)	FR.INR.RINR																																																									
Cayman Islands	CYM	Real interest rate (%)	FR.INR.RINR																																																									
Cyprus	CYP	Real interest rate (%)	FR.INR.RINR																	0.899071445	0.094689819	-1.866379263	-3.656377459	-4.514404307	-3.01529221	-1.225707745	3.765444146	0.75620794	3.153556952	4.65607289	4.947101709	5.62661069	4.055546872	3.383068699	4.920677847	2.790059386	4.004524178	3.383981974	-3.3596782	5.850854011	3.950040304	4.486297304	5.309032076	3.985255144	3.726547665	6.390807154	2.88243572	3.882271467	2.946658168	3.110286856	3.444923977									
Czech Republic	CZE	Real interest rate (%)	FR.INR.RINR																																		-5.733442043	0.691074541	3.383639538	2.309772362	4.342208135	2.516775052	5.579941146	5.389154343	2.27523424	3.941019356	4.807172421	1.9388259	5.668566966	4.837252413	2.17811473	4.144107754	3.263192809	7.446172933	5.695687326	3.889956189	3.488049795	2.11253825	3.248353574	
Germany	DEU	Real interest rate (%)	FR.INR.RINR																			3.649744028	4.169323154	6.246628373	10.08934051	8.529850661	7.044262893	7.678941612	7.251206069	5.581374478	6.9900539	6.527526738	6.859283242	7.92661755	9.096777417	7.890222997	8.368394692	9.114404701	8.794895861	9.337337805	8.843542178	8.356062449	8.464274453	10.12533039	8.622063246	8.235720695														
Djibouti	DJI	Real interest rate (%)	FR.INR.RINR																																					7.643688109	8.003429619	8.874794439	9.244960831	9.313964833	9.32249683	10.58551927	9.418881918	7.981016738	7.992936338	7.817358953	5.72605086	0.011605793	11.47430834	6.243020171	6.080339868	7.481150392	9.344662948	9.447292954	9.306021461	
Dominica	DMA	Real interest rate (%)	FR.INR.RINR																			-2.353031207	-9.76582095	-7.08057898	9.038424653	4.795526334	1.600846303	3.592039303	1.577584632	3.844686733	5.38590509	5.423846733	3.326372912	7.252214685	3.139556085	7.086866142	8.888147047	5.305196994	9.349203427	8.372307453	8.544111343	11.0899869	8.261055662	-10.63243148	9.29843242	10.77841868	15.82068037	5.07477499	11.12618659	6.935938693	7.528028385	7.443226041	1.866087714	9.131222238	7.03615321	11.2250033	5.041564727	9.257751124	9.015852868	
Denmark	DNK	Real interest rate (%)	FR.INR.RINR																			4.538838845	7.687770941	7.710099393	6.284218302	7.631278951	6.616999699	7.006559251	9.93275147	10.41824691	8.45973235	8.318837405	8.075431887	11.20595896	8.489736248	9.954316536	9.820592891	8.255284169	8.928066247	6.553793345	5.598390187	6.58662688	5.350112477	4.908897266	5.542067239	4.643327908														
Dominican Republic	DOM	Real interest rate (%)	FR.INR.RINR																																-33.28882474	21.51486659	23.69467137	16.78662014	19.44899694	19.62804702	11.3613964	18.53051379	20.84024472	18.59880243	18.22431124	19.51544056	-1.677793087	-8.648573695	20.8527197	13.35426002	2.724205707	8.654014357	14.14294579	6.381336234	6.961195918	9.919769781	9.499057233	11.76168918	13.86990892	
Algeria	DZA	Real interest rate (%)	FR.INR.RINR																																			-10.13161271	-7.90216594	-4.049207359	8.136645381	15.1040086	-0.095910634	-10.31738735	10.02980227	7.177710407	-0.188163874	-3.78265643	-6.990217934	-2.318630243	1.481572938	-6.376359455	21.60764425	-6.962093017	-8.658311852	0.485120132	8.07749242	8.209961124	16.45928483	
East Asia & Pacific (excluding high income)	EAP	Real interest rate (%)	FR.INR.RINR																																																									
Early-demographic dividend	EAR	Real interest rate (%)	FR.INR.RINR																																																									
East Asia & Pacific	EAS	Real interest rate (%)	FR.INR.RINR																																																									
Europe & Central Asia (excluding high income)	ECA	Real interest rate (%)	FR.INR.RINR																																																									
Europe & Central Asia	ECS	Real interest rate (%)	FR.INR.RINR																																																									
Ecuador	ECU	Real interest rate (%)	FR.INR.RINR																					-10.38814509	-5.620715726	20.29576663	30.08292054	20.90789433	20.95138263	36.71715933	29.70206115	39.16199777	23.45622958	29.94545319	37.2135833	53.56587475	44.02031329	25.20282591	47.94752825	52.23397805	33.65973439	55.42766328	59.32130225	26.90815005	-9.486799659	3.325805237	2.755025138	5.455721593	1.751336812	1.671699777										
"Egypt, Arab Rep."	EGY	Real interest rate (%)	FR.INR.RINR																	-3.972802799	-0.99424481	-0.728993941	-8.438514202	-3.979315774	13.64975629	5.342904238	6.193156156	3.45448738	5.468209012	1.966292795	-11.28947713	2.9448944	-0.17205924	0.472298175		0.496866114	9.101241415	7.43541938	4.552157642	7.913220474	3.562251891	8.782552708	11.99072946	7.893586088	11.21448513	10.27879401	6.327025944	1.526754755	6.52324158	4.879935235	-0.077452679	0.103899026	0.721433172	0.810946579	-0.512994867	-5.268507905	3.016245887	0.17527826	0.616849195	
Euro area	EMU	Real interest rate (%)	FR.INR.RINR																																																									
Eritrea	ERI	Real interest rate (%)	FR.INR.RINR																																																									
Spain	ESP	Real interest rate (%)	FR.INR.RINR																			-4.701146705	-0.993427966	3.083391367	2.589031441	1.226138568	2.7855464	5.150660729	4.532435955	1.182537435	9.83297671	6.13077651	8.367593737	8.086324378	6.958137334	7.042458818	7.883403073	4.878384406	4.873138683	4.857212348	3.609695242	2.419298478	1.247056454	1.839489412	1.041792591	0.183194073														
Estonia	EST	Real interest rate (%)	FR.INR.RINR																																					-7.84841787	1.443830399	6.640963859	3.387998542	3.540630802	1.36905694	1.576465608	1.162883883	0.751300146	-1.077760515	-3.532109063	-4.530427351	0.982211959	8.916735271	5.921471838	0.813355278	2.508083904	1.452084854	2.988060881	3.407627146	
Ethiopia	ETH	Real interest rate (%)	FR.INR.RINR																										-17.67065668	13.22028145	12.90948702	2.807315015	0.39330317	2.642189476	-10.98741914	-6.519588833	0.549614652	11.07755928	2.108988394	13.64489862	10.27211655	10.66616172	8.177187481	1.303568618	17.63548321	12.74394789	-5.114907984	2.972377117	-2.617063504	-4.080908925	-8.292553686	-17.12177624								
European Union	EUU	Real interest rate (%)	FR.INR.RINR																																																									
Fragile and conflict affected situations	FCS	Real interest rate (%)	FR.INR.RINR																																																									
Finland	FIN	Real interest rate (%)	FR.INR.RINR																		-0.519712205	0.71113324	-0.253893682	0.120322502	-1.624814295	0.232067845	1.25980363	1.873588862	4.926079407	4.100220248	4.44191927	1.891307824	3.547085844	6.096600231	10.08734207	11.1034888	7.973321136	5.960979734	3.409646896	6.262760419	3.108885161	2.170214516	3.725719924	3.912636408	2.377373372	3.813680672	3.907997705	3.062583259												
Fiji	FJI	Real interest rate (%)	FR.INR.RINR																																		4.338465336	10.51158902	9.965307481	8.010362072	7.323353742	1.999382884	1.830090258	13.70350213	4.82106116	4.581426513	-0.251529493	4.822163058	-0.035365959	3.494674572	5.876866974	6.552432866	6.374077243	3.127573479	-1.759995956	3.755266256	3.712872702	2.001156833	2.279370471	
France	FRA	Real interest rate (%)	FR.INR.RINR		0.099547676	-1.120483531	-2.699437504	-0.381093306	0.659868591	0.443578779	0.16324679	-0.05543255	0.275992557	0.869249545	0.958799598	-0.393452197	0.651323924	0.144587222	-3.302885468	-1.514068359	0.658099948	-0.150741977	-0.457599924	0.762004577	2.316666739	1.364185704	2.366880825	4.737373267	5.344814895	4.589106841	6.936659798	6.0210025	6.487526184	7.694913537	7.45552872	7.84990681	7.138951723	6.890685151	6.891102211	5.326624064	5.4119605	5.545044695	6.125084842	5.078235552	4.876781902	4.436653024	4.639557137	4.874219006												
Faroe Islands	FRO	Real interest rate (%)	FR.INR.RINR																																																									
"Micronesia, Fed. Sts."	FSM	Real interest rate (%)	FR.INR.RINR																																				12.27728601	13.08042159	14.26119525	11.52847332	16.22189761	14.09543608	14.00846672	15.25045548	15.45187166	14.1764758	13.99650184	13.99092118	10.41544141	9.126964555	9.701726809	11.37854415	10.61339807	9.479226016	14.28128071	11.0662161	21.4915608	
Gabon	GAB	Real interest rate (%)	FR.INR.RINR																				-8.81051463	-17.75179584	1.863360006	-3.80253029	9.788849492	0.883654114	14.12293439	40.80027554	10.0320699	8.94266944	4.429650704	-2.477624341	33.29644381	17.51949796	18.05982545	-19.82337557	14.46715263	7.429662191	20.85605294	48.39394236	2.356433117	-4.753981421	20.8705256	16.99871585	18.25675954	9.497234735	0.405652882	4.438967225	8.216182395									
United Kingdom	GBR	Real interest rate (%)	FR.INR.RINR								2.538851558	1.840459353	1.112698155	-2.01768045	-0.474124612	0.264694804	-0.389946688	-5.254773642	-12.18050587	-3.474991392	-4.21493166	-2.129773823	-0.338879537	-2.842635301	1.519955268	4.221791642	4.472011799	4.432931557	6.42988488	6.29617114	4.040501572	3.787496763	5.477159733	6.361030611	4.940825844	5.998330405	3.21061501	4.052358943	-2.586686317	1.813451235	4.516655444	5.974524828	4.445903444	3.864515582	4.161138194	1.763821113	1.262902552	1.898663567	1.932739533	1.643616192	2.886833751	1.800291211	-0.872214121	-1.026246848	-1.481635377	-1.023387555	-1.378065567	-1.126987402		
Georgia	GEO	Real interest rate (%)	FR.INR.RINR																																					10.77523738	40.5833008	26.94481322	18.17248747	19.09352305	16.03063905	16.67290768	19.65762185	12.66025659	8.916772296	7.904696403	6.739977799	7.599053317	20.28232852	6.726727052	5.062819974	13.5916418	14.46746476	7.833099456	6.339861728	
Ghana	GHA	Real interest rate (%)	FR.INR.RINR																			-31.33560115	-13.73653487	-21.25782877	-32.24529749	-6.951707571	-46.65141552	-10.45414547	0.429555317	-15.31750727	-9.842923538	-5.861584372																												
Gibraltar	GIB	Real interest rate (%)	FR.INR.RINR																																																									
Guinea	GIN	Real interest rate (%)	FR.INR.RINR																												-9.633813502	-5.469330127	-4.141396942	3.314727693	-1.048072245	0.617798329	23.66678603	20.28236584	14.67528579			15.71537969	15.01263906	12.29996312																
